algorithm,metrics,avg_execution_time,dataset,sketch_size,sparsity
JL_sketch,"{'RMSE': 0.30973170628771723, 'MAE': 0.2415615814870967}",0.007843812306722006,20newsgroups,10,
JL_sketch,"{'RMSE': 0.1372803071082145, 'MAE': 0.10888828219413078}",0.0076903502146403,20newsgroups,50,
JL_sketch,"{'RMSE': 0.09942465364143797, 'MAE': 0.07918167300322586}",0.0076863765716552734,20newsgroups,100,
JL_sketch,"{'RMSE': 0.07266121432706033, 'MAE': 0.05782398046491375}",0.007927497227986654,20newsgroups,200,
priority_sampling,"{'RMSE': 0.11546441940909341, 'MAE': 0.08759646430530336}",0.3427259127298991,20newsgroups,10,
priority_sampling,"{'RMSE': 0.050656908079878465, 'MAE': 0.03138608482356744}",1.7709694703420003,20newsgroups,50,
priority_sampling,"{'RMSE': 0.066578980442121, 'MAE': 0.025617124410366784}",2.87989870707194,20newsgroups,100,
priority_sampling,"{'RMSE': 0.07561803371183949, 'MAE': 0.032953730455952186}",3.167564312616984,20newsgroups,200,
JL_sketch,"{'RMSE': 308.70721169387605, 'MAE': 241.90006739397506}",0.0018757184346516926,generated,10,0.3
JL_sketch,"{'RMSE': 83.5907594495414, 'MAE': 66.26873031738313}",0.0018886725107828777,generated,50,0.3
JL_sketch,"{'RMSE': 64.44076048759241, 'MAE': 51.42812066139654}",0.0019234021504720051,generated,100,0.3
JL_sketch,"{'RMSE': 49.597581589679066, 'MAE': 39.3309351379222}",0.0019686222076416016,generated,200,0.3
priority_sampling,"{'RMSE': 239.3459447350557, 'MAE': 181.62074294995108}",0.15114267667134604,generated,10,0.3
priority_sampling,"{'RMSE': 98.78431916532108, 'MAE': 77.32667517181142}",0.751941998799642,generated,50,0.3
priority_sampling,"{'RMSE': 62.51415894815599, 'MAE': 49.185599411066335}",1.5380099614461262,generated,100,0.3
priority_sampling,"{'RMSE': 28.45974195677815, 'MAE': 22.094951513755067}",3.760793129603068,generated,200,0.3
JL_sketch,"{'RMSE': 163.0396116328548, 'MAE': 124.38774911465758}",0.0018840630849202473,generated,10,0.6
JL_sketch,"{'RMSE': 51.92006549078713, 'MAE': 41.24109322223184}",0.0018916924794514973,generated,50,0.6
JL_sketch,"{'RMSE': 38.27379335745348, 'MAE': 30.513421032283233}",0.0020062923431396484,generated,100,0.6
JL_sketch,"{'RMSE': 28.34769289450983, 'MAE': 22.605484689883934}",0.0019556681315104165,generated,200,0.6
priority_sampling,"{'RMSE': 108.30284321671296, 'MAE': 80.43850517738048}",0.12402089436848958,generated,10,0.6
priority_sampling,"{'RMSE': 42.42323988242034, 'MAE': 32.05988604734127}",0.605793317159017,generated,50,0.6
priority_sampling,"{'RMSE': 20.081551696100284, 'MAE': 15.248301946148512}",1.3497200012207031,generated,100,0.6
priority_sampling,"{'RMSE': 24.01408264460966, 'MAE': 11.151876026222688}",2.451754570007324,generated,200,0.6
JL_sketch,"{'RMSE': 32.271249704209616, 'MAE': 24.773489205941182}",0.0018776257832845051,generated,10,0.9
JL_sketch,"{'RMSE': 13.60621731064511, 'MAE': 10.695401217471412}",0.001896222432454427,generated,50,0.9
JL_sketch,"{'RMSE': 9.497862549817997, 'MAE': 7.483306462863201}",0.0019276142120361328,generated,100,0.9
JL_sketch,"{'RMSE': 6.976078125250452, 'MAE': 5.474363600154115}",0.0019725958506266275,generated,200,0.9
priority_sampling,"{'RMSE': 14.046741638573483, 'MAE': 7.804687298430221}",0.09355807304382324,generated,10,0.9
priority_sampling,"{'RMSE': 6.073832095227833, 'MAE': 2.7476239182776054}",0.3478512763977051,generated,50,0.9
priority_sampling,"{'RMSE': 8.065648322262215, 'MAE': 4.323887017011961}",0.23159662882486978,generated,100,0.9
priority_sampling,"{'RMSE': 8.065648322262215, 'MAE': 4.323887017011961}",0.2313549518585205,generated,200,0.9
